Step 39900: Accuracy(0.539349996845), Loss(0.00733543661889)
Step 40000: Accuracy(0.535633329302), Loss(0.00721361722099)
Step 40100: Accuracy(0.533899996728), Loss(0.00727508134752)
Step 40200: Accuracy(0.533899997324), Loss(0.00727508134209)
Step 40300: Accuracy(0.538616663615), Loss(0.00720143873865)
Step 40400: Accuracy(0.5382666638), Loss(0.00721766158318)
Step 40500: Accuracy(0.542266662965), Loss(0.00723333500481)
Step 40600: Accuracy(0.537816664179), Loss(0.0071706048958)
Step 40700: Accuracy(0.538233328859), Loss(0.00728589523894)
Step 40800: Accuracy(0.537433329473), Loss(0.00720494954924)
Step 40900: Accuracy(0.540283329934), Loss(0.00719445796761)
Step 41000: Accuracy(0.540083330621), Loss(0.0072031630079)
Step 41100: Accuracy(0.539149997433), Loss(0.00716571284768)
Step 41200: Accuracy(0.539566663752), Loss(0.00723895623271)
Step 41300: Accuracy(0.538799996674), Loss(0.0072172624548)
Step 41400: Accuracy(0.540149996628), Loss(0.00722331716679)
Step 41500: Accuracy(0.539649996261), Loss(0.00720711841093)
Step 41600: Accuracy(0.539099997928), Loss(0.00718884397919)
Step 41700: Accuracy(0.539266663343), Loss(0.00719148095775)
Step 41800: Accuracy(0.539349996497), Loss(0.00717813923567)
Step 41900: Accuracy(0.538066663394), Loss(0.00718553693267)
Step 42000: Accuracy(0.540583330741), Loss(0.00717054477738)
Step 42100: Accuracy(0.540466663192), Loss(0.00718094735562)
Step 42200: Accuracy(0.539649996161), Loss(0.00721145484985)
Step 42300: Accuracy(0.540483330588), Loss(0.00718938002829)
Step 42400: Accuracy(0.539033330232), Loss(0.00716113065447)
Step 42500: Accuracy(0.537999997338), Loss(0.00721886595013)
Step 42600: Accuracy(0.540383329292), Loss(0.00721035618413)
Step 42700: Accuracy(0.538649997016), Loss(0.0072050427335)
Step 42800: Accuracy(0.538033330192), Loss(0.0072174429032)
Step 42900: Accuracy(0.539233330439), Loss(0.00719091819522)
Step 43000: Accuracy(0.538966663678), Loss(0.00721033634773)
Step 43100: Accuracy(0.539583329856), Loss(0.0071671157144)
Step 43200: Accuracy(0.540816663702), Loss(0.00720922752439)
Step 43300: Accuracy(0.540999997705), Loss(0.00719930802938)
Step 43400: Accuracy(0.536783331633), Loss(0.00718231935985)
Step 43500: Accuracy(0.537566663871), Loss(0.00723133679479)
Step 43600: Accuracy(0.540616663347), Loss(0.00718811931321)
